path	date	source_type	tc_id	verdict
test-automation/trade-flow-v2/reports/2026-05-31T15-09-46-669Z/results.json	2026-05-31	automated	TC-A01	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-09-46-669Z/results.json	2026-05-31	automated	TC-A02	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-09-46-669Z/results.json	2026-05-31	automated	TC-A03	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-09-46-669Z/results.json	2026-05-31	automated	TC-M13	SKIPPED
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/report.md	2026-05-31	automated	TC-A01	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/report.md	2026-05-31	automated	TC-A02	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/report.md	2026-05-31	automated	TC-A03	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/report.md	2026-05-31	automated	TC-A04	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/report.md	2026-05-31	automated	TC-M01	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/report.md	2026-05-31	automated	TC-M02	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/report.md	2026-05-31	automated	TC-M03	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/report.md	2026-05-31	automated	TC-M04	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/report.md	2026-05-31	automated	TC-M05	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/report.md	2026-05-31	automated	TC-M06	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/report.md	2026-05-31	automated	TC-M07	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/report.md	2026-05-31	automated	TC-M08	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/report.md	2026-05-31	automated	TC-M09	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/report.md	2026-05-31	automated	TC-M10	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/report.md	2026-05-31	automated	TC-M11	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/report.md	2026-05-31	automated	TC-M12	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/report.md	2026-05-31	automated	TC-M13	SKIPPED
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/report.md	2026-05-31	automated	TC-M14	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/report.md	2026-05-31	automated	TC-M15	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/results.json	2026-05-31	automated	TC-A01	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/results.json	2026-05-31	automated	TC-A02	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/results.json	2026-05-31	automated	TC-A03	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/results.json	2026-05-31	automated	TC-A04	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/results.json	2026-05-31	automated	TC-M01	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/results.json	2026-05-31	automated	TC-M02	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/results.json	2026-05-31	automated	TC-M03	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/results.json	2026-05-31	automated	TC-M04	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/results.json	2026-05-31	automated	TC-M05	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/results.json	2026-05-31	automated	TC-M06	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/results.json	2026-05-31	automated	TC-M07	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/results.json	2026-05-31	automated	TC-M08	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/results.json	2026-05-31	automated	TC-M09	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/results.json	2026-05-31	automated	TC-M10	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/results.json	2026-05-31	automated	TC-M11	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/results.json	2026-05-31	automated	TC-M12	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/results.json	2026-05-31	automated	TC-M13	SKIPPED
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/results.json	2026-05-31	automated	TC-M14	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/results.json	2026-05-31	automated	TC-M15	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	REG-R01	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	REG-R02	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	REG-R03	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	REG-R04	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	REG-R05	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	REG-R06	FAIL
