path	date	wc	source_type	src_kind	tc_id	verdict
test-automation/trade-flow-v2/reports/2026-05-31T13-04-19-345Z/report.md	2026-05-31	0	automated	report.md	TC-A01	PASS
test-automation/trade-flow-v2/reports/2026-05-31T13-04-19-345Z/report.md	2026-05-31	0	automated	report.md	TC-A02	PASS
test-automation/trade-flow-v2/reports/2026-05-31T13-04-19-345Z/report.md	2026-05-31	0	automated	report.md	TC-A03	PASS
test-automation/trade-flow-v2/reports/2026-05-31T13-04-19-345Z/report.md	2026-05-31	0	automated	report.md	TC-A04	PASS
test-automation/trade-flow-v2/reports/2026-05-31T13-04-19-345Z/report.md	2026-05-31	0	automated	report.md	TC-N01	SKIPPED
test-automation/trade-flow-v2/reports/2026-05-31T13-04-19-345Z/report.md	2026-05-31	0	automated	report.md	TC-N02	SKIPPED
test-automation/trade-flow-v2/reports/2026-05-31T13-04-19-345Z/results.json	2026-05-31	0	automated	results.json	TC-A01	PASS
test-automation/trade-flow-v2/reports/2026-05-31T13-04-19-345Z/results.json	2026-05-31	0	automated	results.json	TC-A02	PASS
test-automation/trade-flow-v2/reports/2026-05-31T13-04-19-345Z/results.json	2026-05-31	0	automated	results.json	TC-A03	PASS
test-automation/trade-flow-v2/reports/2026-05-31T13-04-19-345Z/results.json	2026-05-31	0	automated	results.json	TC-A04	PASS
test-automation/trade-flow-v2/reports/2026-05-31T13-04-19-345Z/results.json	2026-05-31	0	automated	results.json	TC-N01	SKIPPED
test-automation/trade-flow-v2/reports/2026-05-31T13-04-19-345Z/results.json	2026-05-31	0	automated	results.json	TC-N02	SKIPPED
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	report.md	TC-A01	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	report.md	TC-A02	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	report.md	TC-A03	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	report.md	TC-A04	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	report.md	TC-M01	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	report.md	TC-M02	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	report.md	TC-M03	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	report.md	TC-M04	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	report.md	TC-M05	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	report.md	TC-M06	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	report.md	TC-M07	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	report.md	TC-M08	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	report.md	TC-M09	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	report.md	TC-M10	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	report.md	TC-M11	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	report.md	TC-M12	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	report.md	TC-M14	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	report.md	TC-M15	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	report.md	TC-M13	SKIPPED
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/results.json	2026-05-31	0	automated	results.json	TC-A01	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/results.json	2026-05-31	0	automated	results.json	TC-A02	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/results.json	2026-05-31	0	automated	results.json	TC-A03	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/results.json	2026-05-31	0	automated	results.json	TC-A04	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/results.json	2026-05-31	0	automated	results.json	TC-M01	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/results.json	2026-05-31	0	automated	results.json	TC-M02	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/results.json	2026-05-31	0	automated	results.json	TC-M03	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/results.json	2026-05-31	0	automated	results.json	TC-M04	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/results.json	2026-05-31	0	automated	results.json	TC-M05	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/results.json	2026-05-31	0	automated	results.json	TC-M06	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/results.json	2026-05-31	0	automated	results.json	TC-M07	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/results.json	2026-05-31	0	automated	results.json	TC-M08	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/results.json	2026-05-31	0	automated	results.json	TC-M09	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/results.json	2026-05-31	0	automated	results.json	TC-M10	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/results.json	2026-05-31	0	automated	results.json	TC-M11	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/results.json	2026-05-31	0	automated	results.json	TC-M12	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/results.json	2026-05-31	0	automated	results.json	TC-M14	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/results.json	2026-05-31	0	automated	results.json	TC-M15	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/results.json	2026-05-31	0	automated	results.json	TC-M13	SKIPPED
test-automation/trade-flow-v2/reports/2026-05-31T15-09-46-669Z/report.md	2026-05-31	0	automated	report.md	TC-A01	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-09-46-669Z/report.md	2026-05-31	0	automated	report.md	TC-A02	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-09-46-669Z/report.md	2026-05-31	0	automated	report.md	TC-A03	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-09-46-669Z/report.md	2026-05-31	0	automated	report.md	TC-M13	SKIPPED
test-automation/trade-flow-v2/reports/2026-05-31T15-09-46-669Z/results.json	2026-05-31	0	automated	results.json	TC-A01	FAIL
test-automation/trade-flow-v2/reports/2026-05-31T15-09-46-669Z/results.json	2026-05-31	0	automated	results.json	TC-A02	FAIL
