path	date	wc	source_type	src_kind	rollup_p_f_b_s	n_explicit	n_suffix	n_inline	tc_refs
e2e-test-results/account-file-groups-abcd-2026-08-24/report.md	2026-08-24	0	manual	report.md	16/0/7/0	23	0	0	ACC-TC-A01,ACC-TC-A02,ACC-TC-A03,ACC-TC-A04,ACC-TC-A05,ACC-TC-B01,ACC-TC-B02,ACC-TC-B03,ACC-TC-B04,ACC-TC-B05,ACC-TC-B06,ACC-TC-B07,ACC-TC-B08,ACC-TC-B09,ACC-TC-B10,ACC-TC-C01,ACC-TC-C02,ACC-TC-C03,ACC-TC-C04,ACC-TC-D01,ACC-TC-D02,ACC-TC-D03,ACC-TC-D04,ACC-TC-E01,TC-A01,TC-A02,TC-A03,TC-A04,TC-A05,TC-B01,TC-B02,TC-B03,TC-B04,TC-B05,TC-B06,TC-B07,TC-B08,TC-B09,TC-B10,TC-C01,TC-C02,TC-C03,TC-C04,TC-D01,TC-D02,TC-D03,TC-D04,TC-E01
e2e-test-results/account-file-groups-efg-c03-2026-08-24/decision-outcome-log.md	2026-08-24	0	manual	decision-log	12/2/7/0	0	0	0	
e2e-test-results/account-file-groups-efg-c03-2026-08-24/report.md	2026-08-24	0	manual	report.md	12/2/7/0	21	14	20	ACC-TC-C03,ACC-TC-E01,ACC-TC-E02,ACC-TC-E03,ACC-TC-F01,ACC-TC-F02,ACC-TC-F03,ACC-TC-F04,ACC-TC-G01,ACC-TC-G02,ACC-TC-G03,ACC-TC-G04,ACC-TC-G05,ACC-TC-G06,ACC-TC-G07,ACC-TC-G08,ACC-TC-G09,ACC-TC-G10,ACC-TC-G11,ACC-TC-G12,ACC-TC-G13,TC-C03,TC-E01,TC-E02,TC-E03,TC-F01,TC-F02,TC-F03,TC-F04,TC-G01,TC-G02,TC-G03,TC-G04,TC-G05,TC-G06,TC-G07,TC-G08,TC-G09,TC-G10,TC-G11,TC-G12,TC-G13
e2e-test-results/account-file-j-legal-email-stall-2026-08-26/report.md	2026-08-26	0	manual	report.md	6/2/3/1	12	1	12	ACC-TC-J01,ACC-TC-J02,ACC-TC-J03,ACC-TC-J04,ACC-TC-J05,ACC-TC-J06,ACC-TC-J07,ACC-TC-J08,ACC-TC-J09,ACC-TC-J10,ACC-TC-J11,ACC-TC-J12,TC-J01,TC-J02,TC-J03,TC-J04,TC-J05,TC-J06,TC-J07,TC-J08,TC-J09,TC-J10,TC-J11,TC-J12
e2e-test-results/auth-final-cleanup-batch-2026-08-24/report.md	2026-08-24	0	manual	report.md	2/0/5/0	0	7	7	AUTH-TC-C05,AUTH-TC-C07,AUTH-TC-E04,AUTH-TC-H03,AUTH-TC-J10,AUTH-TC-P03,AUTH-TC-Q04,AUTH-TC-S01,TC-C05,TC-C07,TC-E04,TC-H03,TC-J10,TC-P03,TC-Q04,TC-S01
e2e-test-results/combined-verification-2026-08-18/report.md	2026-08-18	0	manual	report.md	5/0/0/0	0	0	1	AUTH-TC-F03,AUTH-TC-H06,TC-F03,TC-H06
e2e-test-results/dev-task-49-ux-2026-08-29/report.md	2026-08-29	0	manual	report.md		0	0	0	
e2e-test-results/dev-task-65-qa-toolkit-r3-2026-08-30/report.md	2026-08-30	0	manual	report.md		0	0	0	
e2e-test-results/dev-task-67-fix-verify-2026-08-30/decision-outcome-log.md	2026-08-30	0	manual	decision-log		0	0	0	
e2e-test-results/dev-task-67-fix-verify-2026-08-30/report.md	2026-08-30	0	manual	report.md		0	0	0	
e2e-test-results/dev-task-95-msg-followups-2026-09-03/report.md	2026-09-03	0	manual	report.md		0	0	0	MSG-TC-B05,MSG-TC-C06,TC-B05,TC-C06
e2e-test-results/dev-task99-grace-freeze-verify-2026-09-03/report.md	2026-09-03	0	manual	report.md		0	0	0	
e2e-test-results/dt80-privacy-fix-2026-09-01/report.md	2026-09-01	0	manual	report.md		0	0	0	TC-L06,TRD-TC-L06
e2e-test-results/fix-cancel-gap-investigation-2026-09-01/report.md	2026-09-01	0	manual	report.md		0	0	0	
e2e-test-results/group-a-b-d-auth-2026-08-23/decision-and-outcome-log.md	2026-08-23	0	manual	decision-log		0	26	0	AUTH-TC-A01,TC-A01
e2e-test-results/group-a-b-d-auth-2026-08-23/report.md	2026-08-23	0	manual	report.md	23/0/0/0	23	0	0	AUTH-TC-A01,AUTH-TC-A02,AUTH-TC-A03,AUTH-TC-A04,AUTH-TC-A05,AUTH-TC-A06,AUTH-TC-A07,AUTH-TC-A08,AUTH-TC-B01,AUTH-TC-B02,AUTH-TC-B03,AUTH-TC-B04,AUTH-TC-B05,AUTH-TC-B06,AUTH-TC-B07,AUTH-TC-B08,AUTH-TC-B09,AUTH-TC-B10,AUTH-TC-B11,AUTH-TC-B12,AUTH-TC-D01,AUTH-TC-D02,AUTH-TC-D03,TC-A01,TC-A02,TC-A03,TC-A04,TC-A05,TC-A06,TC-A07,TC-A08,TC-B01,TC-B02,TC-B03,TC-B04,TC-B05,TC-B06,TC-B07,TC-B08,TC-B09,TC-B10,TC-B11,TC-B12,TC-D01,TC-D02,TC-D03
e2e-test-results/group-fg-nodes-zip-gating-2026-08-23/report.md	2026-08-23	0	manual	report.md	12/0/0/0	12	0	12	AUTH-TC-F01,AUTH-TC-F02,AUTH-TC-F03,AUTH-TC-F04,AUTH-TC-F05,AUTH-TC-F06,AUTH-TC-G01,AUTH-TC-G02,AUTH-TC-G03,AUTH-TC-G04,AUTH-TC-G05,AUTH-TC-G06,TC-F01,TC-F02,TC-F03,TC-F04,TC-F05,TC-F06,TC-G01,TC-G02,TC-G03,TC-G04,TC-G05,TC-G06
e2e-test-results/group-h-profile-setup-2026-08-23/decision-outcome-log.md	2026-08-23	0	manual	decision-log	4/0/3/0	0	4	0	AUTH-TC-H0,TC-H0
e2e-test-results/group-h-profile-setup-2026-08-23/report.md	2026-08-23	0	manual	report.md	4/0/3/0	7	0	7	AUTH-TC-H01,AUTH-TC-H02,AUTH-TC-H03,AUTH-TC-H04,AUTH-TC-H05,AUTH-TC-H06,AUTH-TC-H07,TC-H01,TC-H02,TC-H03,TC-H04,TC-H05,TC-H06,TC-H07
e2e-test-results/group-i-subscription-choice-2026-08-23/report.md	2026-08-23	0	manual	report.md	0/0/3/0	3	0	0	AUTH-TC-I01,AUTH-TC-I02,AUTH-TC-I03,TC-I01,TC-I02,TC-I03
e2e-test-results/group-j-closure-j02-j04-j11-j12-j13-j15-2026-08-24/report.md	2026-08-24	838	manual	report.md	6/0/0/0	6	0	7	AUTH-TC-J02,AUTH-TC-J04,AUTH-TC-J05,AUTH-TC-J11,AUTH-TC-J12,AUTH-TC-J13,AUTH-TC-J15,TC-J02,TC-J04,TC-J05,TC-J11,TC-J12,TC-J13,TC-J15
e2e-test-results/group-j-h-closure-2026-08-24/report.md	2026-08-24	936	manual	report.md	3/0/0/0	0	2	2	AUTH-TC-H01,AUTH-TC-J05,TC-H01,TC-J05
e2e-test-results/group-j-listing-creation-single-2026-08-24/report.md	2026-08-24	528	manual	report.md	8/1/5/0	14	0	14	AUTH-TC-J01,AUTH-TC-J02,AUTH-TC-J03,AUTH-TC-J04,AUTH-TC-J05,AUTH-TC-J06,AUTH-TC-J07,AUTH-TC-J08,AUTH-TC-J09,AUTH-TC-J11,AUTH-TC-J12,AUTH-TC-J13,AUTH-TC-J14,AUTH-TC-J15,TC-J01,TC-J02,TC-J03,TC-J04,TC-J05,TC-J06,TC-J07,TC-J08,TC-J09,TC-J11,TC-J12,TC-J13,TC-J14,TC-J15
e2e-test-results/group-l-playwright-l01-l04-2026-08-21/decision-outcome-log.md	2026-08-21	0	manual	decision-log		1	10	0	AUTH-TC-L01,TC-L01
e2e-test-results/group-l-playwright-l01-l04-2026-08-21/report.md	2026-08-21	0	manual	report.md	0/0/4/0	4	0	5	AUTH-TC-L01,AUTH-TC-L02,AUTH-TC-L03,AUTH-TC-L04,TC-L01,TC-L02,TC-L03,TC-L04
e2e-test-results/group-l-reverify-l01-l04-2026-08-21/report.md	2026-08-21	0	manual	report.md	4/0/0/0	0	4	0	AUTH-TC-L01,TC-L01
e2e-test-results/group-m-discover-2026-08-22/report.md	2026-08-22	0	manual	report.md	10/0/0/0	10	0	10	AUTH-TC-M01,AUTH-TC-M02,AUTH-TC-M03,AUTH-TC-M04,AUTH-TC-M05,AUTH-TC-M06,AUTH-TC-M07,AUTH-TC-M08,AUTH-TC-M09,AUTH-TC-M10,TC-M01,TC-M02,TC-M03,TC-M04,TC-M05,TC-M06,TC-M07,TC-M08,TC-M09,TC-M10
e2e-test-results/group-n-discovery-category-favorites-2026-08-22/report.md	2026-08-22	0	manual	report.md	4/0/0/0	4	0	5	AUTH-TC-N01,AUTH-TC-N02,AUTH-TC-N03,AUTH-TC-N04,AUTH-TC-O01,TC-N01,TC-N02,TC-N03,TC-N04,TC-O01
e2e-test-results/group-o-closeout-o03-o01-2026-08-22/report.md	2026-08-22	0	manual	report.md	2/0/0/0	2	0	2	AUTH-TC-O01,AUTH-TC-O03,TC-O01,TC-O03
e2e-test-results/group-o-node-scope-2026-08-22/report.md	2026-08-22	0	manual	report.md	5/0/0/0	5	0	5	AUTH-TC-O01,AUTH-TC-O02,AUTH-TC-O03,AUTH-TC-O04,AUTH-TC-O05,TC-O01,TC-O02,TC-O03,TC-O04,TC-O05
e2e-test-results/group-p-full-run-19-cases-2026-08-23/decision-outcome-log.md	2026-08-23	0	manual	decision-log		0	15	0	AUTH-TC-P0,AUTH-TC-P1,TC-P0,TC-P1
e2e-test-results/group-p-full-run-19-cases-2026-08-23/report.md	2026-08-23	0	manual	report.md		19	0	19	AUTH-TC-P01,AUTH-TC-P02,AUTH-TC-P03,AUTH-TC-P04,AUTH-TC-P05,AUTH-TC-P06,AUTH-TC-P07,AUTH-TC-P08,AUTH-TC-P09,AUTH-TC-P10,AUTH-TC-P11,AUTH-TC-P12,AUTH-TC-P13,AUTH-TC-P14,AUTH-TC-P15,AUTH-TC-P16,AUTH-TC-P17,AUTH-TC-P18,AUTH-TC-P19,TC-P01,TC-P02,TC-P03,TC-P04,TC-P05,TC-P06,TC-P07,TC-P08,TC-P09,TC-P10,TC-P11,TC-P12,TC-P13,TC-P14,TC-P15,TC-P16,TC-P17,TC-P18,TC-P19
e2e-test-results/group-p-reverify-appheader-composer-2026-08-23/report.md	2026-08-23	0	manual	report.md	3/0/0/0	0	0	0	
